driver_id,from_zone_id,target_zone_id,distance_m,p_accept
D0277,HN-Z028,HN-Z017,3283.7,0.6446
D0035,HN-Z005,HN-Z017,3305.1,0.637
D0081,HN-Z017,HN-Z025,3373.2,0.6364
D0244,HN-Z017,HN-Z025,3373.2,0.6307
D0237,HN-Z012,HN-Z011,3284.9,0.6443
D0129,HN-Z012,HN-Z011,3284.9,0.6386
D0130,HN-Z012,HN-Z022,3285.5,0.6442
D0106,HN-Z029,HN-Z022,3305.8,0.6367
D0126,HN-Z007,HN-Z001,3284.5,0.6438
D0046,HN-Z005,HN-Z001,3305.6,0.6362
D0099,HN-Z001,HN-Z002,3285.1,0.6437
D0085,HN-Z001,HN-Z002,3285.1,0.6381
D0216,HN-Z005,HN-Z003,3284.7,0.6437
D0221,HN-Z005,HN-Z003,3284.7,0.6381
D0061,HN-Z006,HN-Z004,3284.9,0.6437
D0070,HN-Z001,HN-Z004,3306.2,0.6361
D0028,HN-Z014,HN-Z005,3284.1,0.6438
D0255,HN-Z014,HN-Z005,3284.1,0.6382
D0278,HN-Z004,HN-Z015,3306.7,0.6417
D0201,HN-Z027,HN-Z015,3374.1,0.6298
D0002,HN-Z003,HN-Z008,3285.3,0.6432
D0295,HN-Z003,HN-Z008,3285.3,0.6375
D0300,HN-Z010,HN-Z009,3374.2,0.6349
D0245,HN-Z010,HN-Z009,3374.2,0.6293
D0018,HN-Z025,HN-Z024,3284.5,0.6432
D0197,HN-Z025,HN-Z024,3284.5,0.6376
D0276,HN-Z012,HN-Z029,3373.8,0.6255
D0260,HN-Z012,HN-Z029,3373.8,0.607
D0009,HN-Z018,HN-Z006,3373.5,0.6345
D0017,HN-Z018,HN-Z006,3373.5,0.6289
D0014,HN-Z026,HN-Z010,3286.3,0.6425
D0078,HN-Z026,HN-Z010,3286.3,0.6369
D0183,HN-Z008,HN-Z012,3306.0,0.4926
D0266,HN-Z008,HN-Z012,3306.0,0.4511
