driver_id,request_id,predicted_cost_minutes,mode
D0002,REQ0005,4.08,hungarian_1to1
D0004,REQ0004,10.84,hungarian_1to1
D0005,REQ0008,4.08,hungarian_1to1
D0006,REQ0014,10.84,hungarian_1to1
D0007,REQ0012,10.84,hungarian_1to1
D0008,REQ0037,4.08,hungarian_1to1
D0009,REQ0001,10.84,hungarian_1to1
D0010,REQ0016,4.08,hungarian_1to1
D0013,REQ0006,10.84,hungarian_1to1
D0015,REQ0039,4.08,hungarian_1to1
D0016,REQ0003,4.08,hungarian_1to1
D0019,REQ0025,10.84,hungarian_1to1
D0020,REQ0020,10.84,hungarian_1to1
D0022,REQ0010,10.84,hungarian_1to1
D0023,REQ0013,4.08,hungarian_1to1
D0024,REQ0027,10.84,hungarian_1to1
D0025,REQ0031,4.08,hungarian_1to1
D0026,REQ0023,10.84,hungarian_1to1
D0028,REQ0021,10.84,hungarian_1to1
D0029,REQ0019,4.08,hungarian_1to1
D0032,REQ0030,4.22,hungarian_1to1
D0033,REQ0024,10.84,hungarian_1to1
D0035,REQ0018,4.08,hungarian_1to1
D0037,REQ0035,10.84,hungarian_1to1
D0038,REQ0032,10.84,hungarian_1to1
D0043,REQ0033,10.84,hungarian_1to1
D0046,REQ0038,10.84,hungarian_1to1
D0047,REQ0000,4.08,hungarian_1to1
D0049,REQ0036,4.08,hungarian_1to1
D0053,REQ0011,4.08,hungarian_1to1
D0056,REQ0015,4.08,hungarian_1to1
D0058,REQ0034,4.08,hungarian_1to1
D0081,REQ0022,4.08,hungarian_1to1
D0096,REQ0028,4.08,hungarian_1to1
D0111,REQ0007,4.08,hungarian_1to1
D0121,REQ0017,4.22,hungarian_1to1
D0157,REQ0029,4.08,hungarian_1to1
D0194,REQ0026,4.08,hungarian_1to1
D0241,REQ0002,4.08,hungarian_1to1
D0253,REQ0009,4.08,hungarian_1to1
