driver_id,from_zone_id,target_zone_id,distance_m,p_accept
D0126,HN-Z007,HN-Z002,6569.6,0.3449
D0100,HN-Z007,HN-Z002,6569.6,0.3259
D0168,HN-Z007,HN-Z002,6569.6,0.3017
D0028,HN-Z014,HN-Z011,5779.8,0.4195
D0255,HN-Z014,HN-Z011,5779.8,0.4195
D0039,HN-Z014,HN-Z011,5779.8,0.3601
D0277,HN-Z028,HN-Z025,5779.3,0.4196
D0204,HN-Z028,HN-Z025,5779.3,0.3371
D0210,HN-Z028,HN-Z025,5779.3,0.2772
D0230,HN-Z007,HN-Z001,3284.5,0.6048
D0243,HN-Z007,HN-Z001,3284.5,0.5569
D0288,HN-Z007,HN-Z003,5780.2,0.3139
D0062,HN-Z007,HN-Z003,5780.2,0.2906
D0054,HN-Z007,HN-Z004,5661.8,0.2915
D0109,HN-Z007,HN-Z004,5661.8,0.2884
D0009,HN-Z018,HN-Z006,3373.5,0.6461
D0017,HN-Z018,HN-Z006,3373.5,0.6461
D0014,HN-Z026,HN-Z008,5663.9,0.4216
D0078,HN-Z026,HN-Z008,5663.9,0.4216
D0218,HN-Z026,HN-Z010,3286.3,0.6541
D0236,HN-Z026,HN-Z010,3286.3,0.6541
D0171,HN-Z027,HN-Z015,3374.1,0.6461
D0201,HN-Z027,HN-Z015,3374.1,0.6461
D0071,HN-Z028,HN-Z017,3283.7,0.496
D0030,HN-Z028,HN-Z017,3283.7,0.4558
D0008,HN-Z007,HN-Z005,3373.3,0.4831
D0177,HN-Z014,HN-Z005,3284.1,0.5854
D0093,HN-Z020,HN-Z022,3306.4,0.5142
